,st,state,st_abbr,county,fips,location,area_sqmi,epl_pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,rpl_theme1,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,rpl_theme2,epl_minrty,epl_limeng,spl_theme3,rpl_theme3,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,rpl_theme4,spl_themes,rpl_themes,f_pov,f_unemp,f_pci,f_nohsdp,f_theme1,f_age65,f_age17,f_disabl,f_sngpnt,f_theme2,f_minrty,f_limeng,f_theme3,f_munit,f_mobile,f_crowd,f_noveh,f_groupq,f_theme4,f_total
0,01,ALABAMA,AL,Autauga,01001,"Autauga County, Alabama",594.4434589,0.5401,0.2745,0.286,0.4397,1.5403,0.3631,0.185,0.7529,0.7905,0.3792,2.1076,0.581,0.6336,0.5113,1.1449,0.5947,0.6017,0.7408,0.2964,0.4846,0.1525,2.276,0.3741,7.0688,0.4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,01,ALABAMA,AL,Baldwin,01003,"Baldwin County, Alabama",1589.7930067,0.2239,0.3121,0.2057,0.3209,1.0626,0.2232,0.6428,0.4323,0.3524,0.1391,1.5666,0.199,0.5158,0.3582,0.874,0.4358,0.9713,0.5339,0.2604,0.1328,0.3018,2.2002,0.3359,5.7034,0.2162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2,01,ALABAMA,AL,Barbour,01005,"Barbour County, Alabama",885.0016356,0.9631,0.9217,0.9481,0.9701,3.803,0.978,0.4893,0.3327,0.9064,0.9468,2.6752,0.9153,0.8965,0.7052,1.6017,0.8558,0.2416,0.928,0.8198,0.8685,0.9449,3.8028,0.9889,11.8827,0.9959,1,1,1,1,4,0,0,1,1,2,0,0,0,0,1,0,0,1,2,8
3,01,ALABAMA,AL,Bibb,01007,"Bibb County, Alabama",622.4610887,0.443,0.7895,0.8987,0.7351,2.8663,0.7694,0.32,0.2846,0.6074,0.1706,1.3826,0.1203,0.639,0.227,0.866,0.4323,0.4317,0.9207,0.0981,0.5441,0.9214,2.916,0.7189,8.0309,0.6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2
4,01,ALABAMA,AL,Blount,01009,"Blount County, Alabama",644.8304602,0.4723,0.2611,0.7561,0.8405,2.33,0.6143,0.4715,0.6406,0.3763,0.2961,1.7845,0.3187,0.4206,0.717,1.1376,0.5915,0.1512,0.8816,0.3703,0.242,0.1165,1.7616,0.1741,7.0137,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,01,ALABAMA,AL,Bullock,01011,"Bullock County, Alabama",622.8053678,0.9777,0.9599,0.8924,0.9491,3.7791,0.9771,0.2572,0.2967,0.3983,0.9955,1.9477,0.4438,0.9809,0.297,1.2779,0.6749,0.32,0.9637,0.0,0.95,0.7689,3.0026,0.765,10.0073,0.8898,1,1,0,1,3,0,0,0,1,1,1,0,1,0,1,0,1,0,2,7
6,01,ALABAMA,AL,Butler,01013,"Butler County, Alabama",776.8382008,0.886,0.6968,0.8879,0.6753,3.146,0.8455,0.5928,0.5578,0.6845,0.8185,2.6536,0.9077,0.8711,0.3582,1.2293,0.6447,0.2416,0.894,0.4457,0.7685,0.3792,2.729,0.6259,9.7579,0.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,01,ALABAMA,AL,Calhoun,01015,"Calhoun County, Alabama",605.8672514,0.7322,0.885,0.6076,0.6988,2.9236,0.7866,0.3664,0.4323,0.8564,0.8077,2.4628,0.8303,0.6616,0.5791,1.2407,0.6507,0.5931,0.6396,0.4056,0.5142,0.625,2.7775,0.6492,9.4046,0.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,01,ALABAMA,AL,Chambers,01017,"Chambers County, Alabama",596.560643,0.6258,0.4166,0.7465,0.7966,2.5855,0.6901,0.5817,0.2846,0.6074,0.7316,2.2053,0.6609,0.8437,0.0707,0.9144,0.4597,0.624,0.6192,0.7622,0.7224,0.3457,3.0735,0.7943,8.7787,0.7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,01,ALABAMA,AL,Cherokee,01019,"Cherokee County, Alabama",553.5248315,0.5127,0.5172,0.7096,0.8405,2.58,0.6879,0.8055,0.255,0.8249,0.0665,1.9519,0.4492,0.2843,0.297,0.5813,0.2751,0.3725,0.928,0.3359,0.2248,0.185,2.0462,0.2741,7.1594,0.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
